City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
196,San Carlos De Bariloche,-41.15,-71.31,46.4,81,75,14.99,AR,2020-04-20 04:22:26,broken clouds,0,0
197,Kaka,37.35,59.61,69.28,33,0,3.29,TM,2020-04-20 04:22:29,clear sky,0,0
198,Sur,22.57,59.53,86.29,41,0,6.08,OM,2020-04-20 04:22:29,clear sky,0,0
199,Necochea,-38.55,-58.74,58.95,77,95,4.83,AR,2020-04-20 04:17:37,overcast clouds,0,0
200,Lorengau,-2.02,147.27,84.49,74,33,6.35,PG,2020-04-20 04:16:24,light rain,0.66,0
201,Araouane,18.9,-3.53,79.32,18,0,15.21,ML,2020-04-20 04:16:18,clear sky,0,0
202,Angra Dos Reis,-23.01,-44.32,69.33,79,66,4.41,BR,2020-04-20 04:20:16,light rain,0.13,0
203,Camacha,33.08,-16.33,64.4,77,40,11.41,PT,2020-04-20 04:17:24,scattered clouds,0,0
204,Pilar,-9.6,-35.96,75.52,88,45,5.08,BR,2020-04-20 04:22:30,light rain,1.97,0
205,Pula,44.87,13.85,60.8,63,100,16.11,HR,2020-04-20 04:22:31,overcast clouds,0,0
206,Nelson Bay,-32.72,152.15,73.4,33,100,18.34,AU,2020-04-20 04:17:17,overcast clouds,0,0
207,Lujan,-34.57,-59.1,62.01,79,0,5.39,AR,2020-04-20 04:22:31,clear sky,0,0
208,Ostrovnoy,68.05,39.51,24.48,97,46,6.55,RU,2020-04-20 04:16:09,scattered clouds,0,0
209,Dingle,11.0,122.67,89.37,60,98,13.8,PH,2020-04-20 04:17:45,light rain,0.31,0
210,Cabo San Lucas,22.89,-109.91,70.0,68,26,9.98,MX,2020-04-20 04:14:36,scattered clouds,0,0
211,Vanavara,60.34,102.28,34.86,70,0,1.52,RU,2020-04-20 04:22:32,clear sky,0,0
212,Airai,-8.93,125.41,72.95,43,32,3.47,TL,2020-04-20 04:16:35,scattered clouds,0,0
213,Chipinge,-20.19,32.62,53.35,74,16,1.95,ZW,2020-04-20 04:22:32,few clouds,0,0
